,tamanho,tempo,descricao,interacoes,reviews,state
0,8,7787411.0,472,31,1,MERGED
1,17,36160290.0,770,42,13,CLOSED
2,1,564252.0,2238,8,1,MERGED
3,1,4084861.0,2457,17,1,MERGED
4,1,2559226.0,2027,5,1,CLOSED
5,1,1668560.0,2026,3,1,MERGED
6,1,1383728.0,0,5,4,MERGED
7,3,1318619.0,855,3,2,MERGED
8,1,25921.0,195,3,1,CLOSED
9,1,27689.0,1900,1,1,MERGED
10,1,2171232.0,1973,22,3,MERGED
11,1,25912.0,2419,1,2,MERGED
12,2,1682241.0,473,36,1,MERGED
13,3,3100801.0,2316,23,11,MERGED
14,1,1285500.0,190,10,2,MERGED
15,1,2103553.0,1759,4,2,MERGED
16,1,84109.0,1906,7,3,MERGED
17,6,3681592.0,2312,12,4,CLOSED
18,2,262815.0,139,0,3,MERGED
19,3,56244.0,1906,6,1,MERGED
20,1,1727192.0,1896,8,1,MERGED
21,2,43674.0,44,0,1,MERGED
22,2,2506501.0,2322,22,15,MERGED
23,1,30098.0,2319,2,1,MERGED
24,1,15399.0,1783,0,1,MERGED
25,1,6302.0,1939,2,1,MERGED
26,1,44117.0,2132,3,1,CLOSED
27,1,160903.0,2018,5,3,MERGED
28,1,35183.0,1943,1,1,MERGED
29,25,9869779.0,0,50,1,MERGED
30,7,208556.0,111,0,1,MERGED
31,1,424697.0,1137,4,2,MERGED
32,1,6385.0,69,3,2,MERGED
33,1,12095.0,1916,4,3,MERGED
34,1,12950.0,984,2,1,MERGED
35,1,22994.0,2169,0,1,MERGED
36,1,117415.0,2074,8,1,MERGED
37,1,103184.0,2154,6,2,CLOSED
38,1,251768.0,2840,8,1,MERGED
39,1,82296.0,1901,6,7,MERGED
40,1,40953.0,2008,2,1,MERGED
41,6,29377.0,1998,7,1,CLOSED
42,1,8074.0,1971,1,1,MERGED
43,1,6273.0,2360,1,1,MERGED
44,4,1732189.0,0,10,1,MERGED
45,1,336650.0,2056,11,2,MERGED
46,5,97801.0,1750,1,1,CLOSED
47,1,337269.0,2530,4,1,MERGED
48,12,5098455.0,1986,24,28,MERGED
49,9,4237036.0,1970,28,30,MERGED
50,1,35331.0,1959,0,2,MERGED
51,1,2786426.0,2055,5,4,MERGED
52,1,234987.0,1962,4,5,MERGED
53,1,6220601.0,2319,15,9,CLOSED
54,6,6661696.0,1955,15,10,MERGED
55,1,288286.0,1671,7,6,MERGED
56,1,254370.0,1939,8,3,MERGED
57,1,220720.0,2068,3,4,MERGED
58,1,1024077.0,5802,14,1,CLOSED
59,1,228999.0,2150,3,3,MERGED
60,1,197418.0,2052,1,2,MERGED
61,1,165521.0,2199,6,6,MERGED
62,1,118063.0,2025,3,2,MERGED
63,2,387384.0,1902,17,5,MERGED
64,1,11636.0,320,0,7,MERGED
65,1,2104066.0,2220,6,8,MERGED
66,34,47989.0,114,0,1,MERGED
67,1,47498.0,1886,7,1,MERGED
68,1,394107.0,2015,3,7,MERGED
69,15,10356153.0,2258,23,14,MERGED
70,1,583289.0,2051,8,2,MERGED
71,32,14191802.0,369,21,7,CLOSED
72,1,90440.0,3998,0,3,MERGED
73,4,2033894.0,2150,15,10,MERGED
74,1,5391.0,1952,0,1,MERGED
75,2,1077407.0,1915,10,3,MERGED
76,1,43862.0,1995,0,1,MERGED
77,1,55298.0,3014,2,1,MERGED
78,3,450848.0,1930,3,2,MERGED
79,1,15011.0,1348,0,1,MERGED
80,5,32591.0,2063,0,1,MERGED
81,1,13637.0,60,2,1,MERGED
82,1,19411.0,2284,1,1,MERGED
83,5,3595132.0,2377,4,3,MERGED
84,1,460619.0,3777,16,1,MERGED
85,2,2747779.0,2310,9,6,CLOSED
86,1,767181.0,1985,11,3,MERGED
87,2,55479.0,1913,2,1,CLOSED
88,1,185672.0,4905,3,1,CLOSED
89,3,3630556.0,2144,12,6,MERGED
90,2,3035325.0,1977,2,1,MERGED
91,1,139281.0,2023,1,2,MERGED
92,1,112224.0,4041,3,6,MERGED
93,1,41700.0,2132,5,1,MERGED
94,1,45104.0,2058,5,5,MERGED
95,1,75781.0,2038,5,2,MERGED
96,1,59539.0,2023,0,2,CLOSED
97,1,7824.0,2093,8,4,MERGED
98,1,735725.0,2000,5,2,CLOSED
99,1,171075.0,2131,5,1,MERGED
100,1,56174.0,1913,2,2,CLOSED
101,1,373333.0,10286,1,1,CLOSED
102,3,339063.0,2044,4,3,MERGED
103,1,86715.0,1913,2,2,MERGED
104,1,636428.0,2024,8,5,MERGED
105,1,228829.0,103,2,1,MERGED
106,1,28635.0,1913,0,1,MERGED
107,1,4188622.0,426,11,7,CLOSED
108,1,4075916.0,1956,10,15,MERGED
109,3,2454601.0,2118,2,2,MERGED
110,3,32430.0,425,1,1,MERGED
111,5,6078784.0,2033,1,2,CLOSED
112,1,114632.0,2032,4,2,MERGED
113,1,2132523.0,8831,5,1,CLOSED
114,6,3710757.0,291,16,9,MERGED
115,1,13605.0,2029,5,1,MERGED
116,1,1316798.0,1985,1,1,MERGED
117,1,60531.0,1970,7,2,MERGED
118,3,2971067.0,2052,11,3,MERGED
119,1,6868.0,2004,8,8,MERGED
120,1,45044.0,1760,3,2,MERGED
121,1,135270.0,2058,0,2,MERGED
122,1,83970.0,1965,1,1,MERGED
123,4,330665.0,321,2,1,MERGED
124,1,300231.0,1715,1,1,MERGED
125,1,294583.0,2056,1,1,MERGED
126,2,16910.0,1911,1,1,MERGED
127,1,178186.0,1928,7,2,CLOSED
128,6,90478.0,13,1,3,MERGED
129,1,41539.0,146,3,1,MERGED
130,1,196585.0,3704,3,4,MERGED
131,1,286567.0,2138,1,1,MERGED
132,1,1192451.0,2211,8,6,MERGED
133,1,91330.0,0,4,2,MERGED
134,1,643645.0,2467,7,7,MERGED
135,1,74342.0,895,4,1,MERGED
136,1,71946.0,1926,0,1,MERGED
137,1,54355.0,1913,5,1,CLOSED
138,1,156961.0,1940,5,2,MERGED
139,1,344312.0,1943,3,1,MERGED
140,1,85688.0,190,0,1,MERGED
141,23,34465.0,2038,1,1,MERGED
142,33,3975490.0,179,2,1,MERGED
143,1,612666.0,934,6,1,MERGED
144,24,83858.0,2846,4,1,CLOSED
145,1,22371.0,460,2,4,MERGED
146,1,10808.0,2448,0,1,MERGED
147,1,49660.0,2147,0,1,MERGED
148,23,10905572.0,2152,9,8,CLOSED
149,5,10921.0,2558,1,3,MERGED
150,1,3628.0,1963,1,1,MERGED
151,2,206245.0,2747,4,1,MERGED
152,1,27586.0,2124,0,1,MERGED
153,1,242919.0,2253,8,2,MERGED
154,25,39977.0,0,0,1,MERGED
155,1,104720.0,2147,3,1,MERGED
156,1,24700.0,1768,1,4,MERGED
157,3,64043.0,2149,3,2,MERGED
158,1,7257.0,1978,0,1,MERGED
159,1,3791.0,1936,0,1,MERGED
160,52,2309832.0,2095,6,2,CLOSED
161,1,156251.0,2189,1,3,MERGED
162,1,24320.0,2090,0,1,MERGED
163,1,433178.0,2421,3,1,MERGED
164,1,249969.0,1708,2,2,MERGED
165,2,197287.0,2494,1,3,CLOSED
166,1,23424.0,2041,0,1,MERGED
167,1,49081.0,2017,3,3,MERGED
168,1,48299.0,2926,1,1,MERGED
169,1,29970.0,2203,1,2,MERGED
170,1,238415.0,2176,7,5,MERGED
