owner,name,total_prs
freeCodeCamp,freeCodeCamp,32586
EbookFoundation,free-programming-books,8266
996icu,996.ICU,1930
jwasham,coding-interview-university,871
sindresorhus,awesome,1848
kamranahmedse,developer-roadmap,2225
public-apis,public-apis,2810
donnemartin,system-design-primer,282
facebook,react,13157
vuejs,vue,2135
codecrafters-io,build-your-own-x,197
tensorflow,tensorflow,22617
trekhleb,javascript-algorithms,469
getify,You-Dont-Know-JS,824
vinta,awesome-python,1457
CyC2018,CS-Notes,540
twbs,bootstrap,14418
ohmyzsh,ohmyzsh,6399
TheAlgorithms,Python,6792
flutter,flutter,42933
torvalds,linux,451
github,gitignore,3800
microsoft,vscode,20068
ossu,computer-science,395
jlevy,the-art-of-command-line,452
jackfrued,Python-100-Days,133
airbnb,javascript,1357
Snailclimb,JavaGuide,1042
awesome-selfhosted,awesome-selfhosted,2698
ytdl-org,youtube-dl,3930
labuladong,fucking-algorithm,431
30-seconds,30-seconds-of-code,1483
golang,go,2588
facebook,react-native,11980
electron,electron,18979
d3,d3,1114
vercel,next.js,15042
justjavac,free-programming-books-zh_CN,426
avelino,awesome-go,4065
axios,axios,1296
facebook,create-react-app,3725
practical-tutorials,project-based-learning,307
kubernetes,kubernetes,73393
trimstray,the-book-of-secret-knowledge,195
nodejs,node,29659
huggingface,transformers,11169
mrdoob,three.js,13855
microsoft,TypeScript,15792
microsoft,PowerToys,4337
yangshun,tech-interview-handbook,499
