owner,name,total_prs
freeCodeCamp,freeCodeCamp,32586
EbookFoundation,free-programming-books,8266
996icu,996.ICU,1930
jwasham,coding-interview-university,871
sindresorhus,awesome,1848
kamranahmedse,developer-roadmap,2225
public-apis,public-apis,2810
donnemartin,system-design-primer,282
facebook,react,13157
vuejs,vue,2135
codecrafters-io,build-your-own-x,197
tensorflow,tensorflow,22617
trekhleb,javascript-algorithms,469
getify,You-Dont-Know-JS,824
vinta,awesome-python,1457
CyC2018,CS-Notes,540
twbs,bootstrap,14418
ohmyzsh,ohmyzsh,6399
TheAlgorithms,Python,6792
flutter,flutter,42933
torvalds,linux,451
github,gitignore,3800
microsoft,vscode,20068
ossu,computer-science,395
jlevy,the-art-of-command-line,452
jackfrued,Python-100-Days,133
airbnb,javascript,1357
Snailclimb,JavaGuide,1042
awesome-selfhosted,awesome-selfhosted,2698
ytdl-org,youtube-dl,3930
labuladong,fucking-algorithm,431
30-seconds,30-seconds-of-code,1483
golang,go,2588
facebook,react-native,11980
electron,electron,18979
d3,d3,1114
vercel,next.js,15042
justjavac,free-programming-books-zh_CN,426
avelino,awesome-go,4065
axios,axios,1296
facebook,create-react-app,3725
practical-tutorials,project-based-learning,307
kubernetes,kubernetes,73393
trimstray,the-book-of-secret-knowledge,195
nodejs,node,29659
huggingface,transformers,11169
mrdoob,three.js,13855
microsoft,TypeScript,15792
microsoft,PowerToys,4337
yangshun,tech-interview-handbook,499
denoland,deno,10030
goldbergyoni,nodebestpractices,891
microsoft,terminal,3493
angular,angular,23486
mui,material-ui,18577
ant-design,ant-design,13725
puppeteer,puppeteer,3957
PanJiaChen,vue-element-admin,472
ryanmcdermott,clean-code-javascript,246
Genymobile,scrcpy,324
iluwatar,java-design-patterns,1624
rust-lang,rust,61360
storybookjs,storybook,10137
animate-css,animate.css,767
nvbn,thefuck,593
tensorflow,models,3562
gothinkster,realworld,544
laravel,laravel,4493
FortAwesome,Font-Awesome,634
papers-we-love,papers-we-love,497
mtdvio,every-programmer-should-know,141
django,django,16566
tonsky,FiraCode,176
doocs,advanced-java,114
bitcoin,bitcoin,18629
ripienaar,free-for-dev,2741
microsoft,Web-Dev-For-Beginners,704
vuejs,awesome-vue,3736
opencv,opencv,13645
gin-gonic,gin,1369
tailwindlabs,tailwindcss,2162
sveltejs,svelte,3281
spring-projects,spring-boot,5604
gohugoio,hugo,4255
typicode,json-server,268
fatedier,frp,653
nvm-sh,nvm,958
moby,moby,22851
pytorch,pytorch,65171
f,awesome-chatgpt-prompts,196
neovim,neovim,13131
thedaviddias,Front-End-Checklist,292
florinpop17,app-ideas,274
iptv-org,iptv,5796
AUTOMATIC1111,stable-diffusion-webui,1572
hakimel,reveal.js,920
elastic,elasticsearch,62572
webpack,webpack,5973
netdata,netdata,7284
pallets,flask,2362
apple,swift,47286
tauri-apps,tauri,3249
expressjs,express,1098
godotengine,godot,32056
chartjs,Chart.js,3668
coder,code-server,1619
resume,resume.github.com,170
jaywcjlove,awesome-mac,797
home-assistant,core,52602
reduxjs,redux,2401
redis,redis,5356
atom,atom,5249
angular,angular.js,7923
protocolbuffers,protobuf,6612
josephmisiti,awesome-machine-learning,835
socketio,socket.io,825
keras-team,keras,6123
jquery,jquery,2826
ansible,ansible,48614
h5bp,Front-end-Developer-Interview-Questions,633
tiangolo,fastapi,1731
mermaid-js,mermaid,1823
kelseyhightower,nocode,137
shadowsocks,shadowsocks-windows,474
lodash,lodash,1160
nestjs,nest,6423
leonardomso,33-js-concepts,213
vitejs,vite,4235
grafana,grafana,34470
apache,echarts,1519
enaqx,awesome-react,1101
DopplerHQ,awesome-interview-questions,207
chrislgarry,Apollo-11,422
Developer-Y,cs-video-courses,160
twitter,the-algorithm,289
gatsbyjs,gatsby,21409
h5bp,html5-boilerplate,1569
anuraghazra,github-readme-stats,1214
lydiahallie,javascript-questions,470
scikit-learn,scikit-learn,14729
awesomedata,awesome-public-datasets,276
ElemeFE,element,4762
strapi,strapi,7604
Anduin2017,HowToCook,610
rails,rails,30974
python,cpython,38533
junegunn,fzf,663
spring-projects,spring-framework,4026
apache,superset,12870
TheAlgorithms,Java,3055
sdmg15,Best-websites-a-programmer-should-visit,754
azl397985856,leetcode,303
hoppscotch,hoppscotch,1811
bradtraversy,design-resources-for-developers,1183
sindresorhus,awesome-nodejs,1064
3b1b,manim,772
syncthing,syncthing,3710
Semantic-Org,Semantic-UI,765
tesseract-ocr,tesseract,1507
scutan90,DeepLearning-500-questions,334
MunGell,awesome-for-beginners,1060
necolas,normalize.css,356
remix-run,react-router,2810
microsoft,playwright,11437
psf,requests,2299
ionic-team,ionic-framework,6181
supabase,supabase,5319
google,material-design-icons,150
ageitgey,face_recognition,187
ventoy,Ventoy,361
prometheus,prometheus,6612
microsoft,ML-For-Beginners,408
moment,moment,1971
google,guava,1505
soimort,you-get,924
jgthms,bulma,953
ReactiveX,RxJava,3768
swisskyrepo,PayloadsAllTheThings,543
obsproject,obs-studio,5184
scrapy,scrapy,2795
caddyserver,caddy,1924
ocornut,imgui,940
localstack,localstack,3643
prakhar1989,awesome-courses,249
jekyll,jekyll,4252
NARKOZ,hacker-scripts,111
Solido,awesome-flutter,858
excalidraw,excalidraw,3635
wasabeef,awesome-android-ui,215
alacritty,alacritty,1978
danielmiessler,SecLists,611
git,git,1142
fffaraz,awesome-cpp,700
prettier,prettier,8297
yt-dlp,yt-dlp,1721
juliangarnier,anime,136
Eugeny,tabby,3455
minimaxir,big-list-of-naughty-strings,123
nuxt,nuxt,3547
serverless,serverless,5208
